ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	Zhen	F1	F2	F3	F4	F5	F6	IsCreat
ID	种族	阶段 0童年 1成年 2重大事件 	性别 0均可 1男 2女	名字	描述	触发开始年份	感知	体质	魅力	悟性	运气	战斗	气感	社交 （所有技能等级后面可以附加,X。X为热爱程度 1为热爱 2为痴迷）	医术	厨艺	建筑	农事	采掘	艺术	制造	斗法	丹器	御物	术法	护体	阵法	特性1	特性2	特性3	特性4	特性5	特性6	
2022001	Human	1	0	酒剑仙	[NAME]是蜀山仙剑派俗家弟子，后继任掌门，自称[NAME]，姓名已无人知晓，于武学上极有天赋，唯独嗜酒如命，举止狂放，不在意任何规矩法度，被师门视为异类，也常被师兄说教。玩世不恭游戏人间，自创“酒神”绝技，以酒作乐，酒喝越多越有精神，没酒喝反而会醉倒。立誓尝遍天下美酒，斩尽世间妖魔。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_9	LunHui_24	LunHui_30	LunHui_20	LunHui_41	YangBody	1
2022002	Human	1	0	无尘剑仙	有诗云：“瞳凝秋水剑流星，裁诗为骨玉为神。翩翩白衣云端客，生死为谁一掷轻。”[NAME]身世无人知晓，自小被酒剑仙带上山修习仙剑派道法，天资超凡，内敛自持，品行令人敬慕。外冷内热，仙风道骨，看似冷峻肃穆，实则内敛而重情义。处事原则分明，对于天道循环等有较为透彻的感悟。因其心一尘不染，又青丝如雪一袭白衣，被三界称为—无尘剑仙[NAME]。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_9	Features_JingGuai_3	GoodMentality	LunHui_20	BaiFa	SonOfDestiny	1
2022003	Human	1	0	麻衣剑仙	[NAME]为人侠义豪爽，年轻时为一镖局的镖头，经常走南闯北练出一身本领。[IT]在一次押镖途中看见几名邪修正屠戮一所村庄，便立马上去帮助村民，奈何不是邪修对手，在身受重伤后使用偶然习得的龟息法逃过一劫，脸上也留下狰狞的伤口。[NAME]此战之后便打算拜入仙门学习道法，不求升仙只为除恶卫道，通过重重考验后加入蜀山仙剑派。前世能力也随之觉醒。因常常穿一身麻衣头戴斗笠，人称“麻衣剑仙”。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_9	Enthusiasm	LunHui_20	LunHui_41	LunHui_47	DragonBlood	1
2022004	Human	1	0	玄符天师	仙剑派盛产剑侠，却也不乏有其他修士，[NAME]便是其中之一。自幼被送上山门后，不爱习剑，却对符法喜爱有加，加上天资聪慧，刻骨钻研，硬是凭一己之力把仙剑派符法之术提升了数个档次，直逼龙虎山天师府。那之后山门弟子背后都称呼他为小天师。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_9	LunHui_55	LunHui_65	LunHui_43	HuaFuShi	SonOfDestiny	1
2022005	Human	1	0	鬼王宗少主	[NAME]乃魔教四大宗之一鬼王宗少宗主，鬼王的掌上明珠，家学渊源，功法精妙绝伦，仙姿仪容，灵气逼人，博闻广识，妙颜无双。在魔教中位高权重。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	LunHui_48	Cat_Elegant	SonOfDestiny	1
2022006	Human	1	0	小竹峰首座	[NAME]容颜空灵清绝，白衣翩跹，身负蓝色仙剑临风而立，青丝飞扬，一身仙风侠骨仗剑江湖。她是正道大派青云门下新一代弟子中的翘楚，天资绝顶，入门短短五年，修为高玉清九层，性子清冷出尘，不喜多舌言辞。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	LunHui_48	SonOfDestiny	1
2022007	Human	1	0	妙公子	[NAME]俏丽妩媚，撩人心魄，却内心强硬，精灵狡黠，为生存可不择手段。善用媚心术蛊惑他人，却从未爱上任一男子。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	LunHui_47	Optimistic	LunHui_48	1
2022008	Human	1	0	青云相师	[NAME]可爱美丽，天真善良，喜欢吃冰糖葫芦，在相术之上拥有惊人天赋，后得鬼先生传其鬼道之术。	-1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	HuaFuShi	LunHui_48	1
2022009	Human	1	0	霹雳堂护法	[NAME]霹雳堂护法，一心想重振霹雳堂威名。看似高傲强悍，实则内心也有柔情似水的一面。身负振兴霹雳堂的重任的她时常压抑自己的感情，然而在深入交往后，酒后对主角表露自己的心迹，主角拜入门派后第一个并肩作战的女性角色。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	LunHui_43	LianBaoShi	LunHui_63	1
